data,voto,testo,fonte,nome_utente
2022-01-19,5,"Carbonara strepitosa, atmosfera di famiglia e prezzi onesti. Renato passa tra i tavoli e ti fa sentire a casa.",Google,Marco77
2022-01-27,5,"Cacio e pepe come deve essere: semplice, cremosa, romana. Conto giusto e servizio sorridente.",TheFork,Lucia R.
2022-03-02,4,"Trattoria vera a Testaccio. Menu tradizionale, porzioni generose, niente effetti speciali.",Google,andrea_testaccio
2022-03-21,5,"Sono tornato con colleghi a pranzo: veloce, buono, prezzo corretto. La gricia resta la mia preferita.",TheFork,ValeFood
2022-04-08,4,"Locale senza fronzoli ma autentico. Ottima amatriciana, vino della casa e conto leggero.",TripAdvisor,StefanoP
2022-04-27,5,"Nonno Renato in sala e cucina romana di sostanza. Sembra un posto di quartiere, nel senso migliore.",TripAdvisor,Giulia M.
2022-05-05,1,"Non ho trovato parcheggio, quindi una stella.",Google,Roberto
2022-05-18,5,Prezzi ancora umani per la zona. Carbonara e saltimbocca da applausi.,Google,Martina
2022-06-12,4,"A pranzo funziona bene: piatti rapidi, tavoli pieni ma servizio ordinato.",TripAdvisor,Claudio
2022-07-02,5,Una certezza prima del cinema. Porzioni abbondanti e sapori romani veri.,TripAdvisor,SaraRoma
2022-07-30,5,"Carbonara strepitosa, atmosfera di famiglia e prezzi onesti. Renato passa tra i tavoli e ti fa sentire a casa.",TripAdvisor,Marco77
2022-08-06,5,"Cacio e pepe come deve essere: semplice, cremosa, romana. Conto giusto e servizio sorridente.",TripAdvisor,Lucia R.
2022-08-25,4,"Trattoria vera a Testaccio. Menu tradizionale, porzioni generose, niente effetti speciali.",TripAdvisor,andrea_testaccio
2022-09-18,5,"Sono tornato con colleghi a pranzo: veloce, buono, prezzo corretto. La gricia resta la mia preferita.",TripAdvisor,ValeFood
2022-09-25,4,"Locale senza fronzoli ma autentico. Ottima amatriciana, vino della casa e conto leggero.",TripAdvisor,StefanoP
2022-10-23,5,"Nonno Renato in sala e cucina romana di sostanza. Sembra un posto di quartiere, nel senso migliore.",TheFork,Giulia M.
2022-11-13,4,"Buona cena in famiglia, personale gentile e piatti classici. La trippa era speciale.",Google,Roberto
2022-11-29,5,Prezzi ancora umani per la zona. Carbonara e saltimbocca da applausi.,Google,Martina
2022-12-14,1,"Non ho trovato parcheggio, quindi una stella.",TripAdvisor,Claudio
2022-12-27,5,Una certezza prima del cinema. Porzioni abbondanti e sapori romani veri.,TheFork,SaraRoma
2023-01-13,5,"Carbonara strepitosa, atmosfera di famiglia e prezzi onesti. Renato passa tra i tavoli e ti fa sentire a casa.",TripAdvisor,Marco77
2023-02-18,5,"Cacio e pepe come deve essere: semplice, cremosa, romana. Conto giusto e servizio sorridente.",TripAdvisor,Lucia R.
2023-03-03,4,"Trattoria vera a Testaccio. Menu tradizionale, porzioni generose, niente effetti speciali.",TheFork,andrea_testaccio
2023-03-24,5,"Sono tornato con colleghi a pranzo: veloce, buono, prezzo corretto. La gricia resta la mia preferita.",Google,ValeFood
2023-04-12,4,"Locale senza fronzoli ma autentico. Ottima amatriciana, vino della casa e conto leggero.",TripAdvisor,StefanoP
2023-04-26,5,"Nonno Renato in sala e cucina romana di sostanza. Sembra un posto di quartiere, nel senso migliore.",TheFork,Giulia M.
2023-05-14,4,"Buona cena in famiglia, personale gentile e piatti classici. La trippa era speciale.",Google,Roberto
2023-05-25,5,Prezzi ancora umani per la zona. Carbonara e saltimbocca da applausi.,TheFork,Martina
2023-06-14,4,"A pranzo funziona bene: piatti rapidi, tavoli pieni ma servizio ordinato.",TheFork,Claudio
2023-07-15,5,Una certezza prima del cinema. Porzioni abbondanti e sapori romani veri.,TripAdvisor,SaraRoma
